,question,answer
517,i'm really glad that you came to see me.,i had to. i was missing you a lot.
518,i had to. i was missing you a lot.,i was missing you too.
519,i was missing you too.,"so, why haven't you visited me?"
520,"so, why haven't you visited me?",i've actually been busy lately.
521,i've actually been busy lately.,what have you been doing?
522,what have you been doing?,i've just been working really hard.
523,i've just been working really hard.,i've also been busy.
524,i've also been busy.,tell me what you've been doing.
525,tell me what you've been doing.,"basically, i've been working too."
526,"basically, i've been working too.","well whatever, i'm glad you came."
527,"well whatever, i'm glad you came.",so am i.
528,i'm really happy that you came to visit me.,i really missed you a lot.
529,i really missed you a lot.,i've been missing you like crazy.
530,i've been missing you like crazy.,i don't understand why you haven't come to visit me.
531,i don't understand why you haven't come to visit me.,"lately, i've been quite busy."
532,"lately, i've been quite busy.",tell me what you've been up to.
533,tell me what you've been up to.,i've really been working a lot lately.
534,i've really been working a lot lately.,i've been pretty busy myself.
535,i've been pretty busy myself.,so what have you been up to?
536,so what have you been up to?,i've just been working a lot.
537,i've just been working a lot.,"whatever the reason may be, i'm glad you visited me."
538,"hey, did you hear about jessica's party this weekend?","yeah, but i'm still waiting for my invitation."
539,"yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.
540,oh really? she gave me mine earlier today.,"well, she'll probably just give me my invitation later on today."
541,"well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?"
542,"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.
543,i think so. it sounds like it's going to be a lot of fun.,"it really does, i can't wait."
544,"it really does, i can't wait.",what time does the party start?
545,what time does the party start?,it starts at 8 o'clock.
546,it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?"
547,"oh, well, how many people has she given invites to so far?","i'm not sure, but i don't think she's given out that many."
548,"i'm not sure, but i don't think she's given out that many.","well, hopefully she'll give me my invite later on today."
549,have you heard about jessica's party on saturday?,"i've heard about it, but i'm still waiting for my invitation."
550,"i've heard about it, but i'm still waiting for my invitation.",really? i got mine from her this morning.
551,really? i got mine from her this morning.,i'm guessing that she's going to give me my invite today or tomorrow.
552,i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?"
553,"you're probably right, do you intend on going to the party?",i want to. i heard it's going to be really fun.
554,i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome."
555,"i know, it does sound pretty awesome.","well, when does the party start?"
556,"well, when does the party start?",it's supposed to start at about eight.
557,it's supposed to start at about eight.,how many invitations has she given out?
558,how many invitations has she given out?,"i really don't know, but i don't think she gave out that many yet."
559,"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon."
560,has anyone told you about jessica's party coming up?,i was told about it already. i'm just waiting for my invitation.
561,i was told about it already. i'm just waiting for my invitation.,is that right? i already got my invitation from her earlier.
562,is that right? i already got my invitation from her earlier.,i believe that she will give me the invitation today.
563,i believe that she will give me the invitation today.,are you even going to go?
564,are you even going to go?,"yeah, it sounds like it's going to be the best party of the year."
565,"yeah, it sounds like it's going to be the best party of the year.","exactly, it seems like it's going to be loads of fun."
566,"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?
567,when exactly does the party start?,the invitation says it starts at 8:00 p.m.
568,the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?
569,has she given out a lot of invitations yet?,"i have no idea, she hasn't given out many though."
570,"hey, what's up?",nothing really.
571,nothing really.,i'm throwing a party on friday.
572,i'm throwing a party on friday.,i didn't realize that.
573,i didn't realize that.,you didn't?
574,you didn't?,nobody has told me anything about your party.
575,nobody has told me anything about your party.,did you want to go?
576,did you want to go?,when does it start?
577,when does it start?,at 8:00 p.m.
578,at 8:00 p.m.,i'll be there.
579,i'll be there.,i'd better see you there.
